praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
38.5,12.7,4.37,22.7,23.7,4.22,10.8,578.0,1.86,7.37,3.43
51.4,36.8,12.7,40.3,21.7,12.7,25.9,667.0,2.5,14.9,64.9
26.9,15.1,18.6,20.5,8.43,20.4,38.5,437.0,11.7,24.4,15.4
56.2,21.1,12.7,21.1,57.8,14.1,19.8,474.0,25.9,39.6,75.7
70.4,35.5,18.4,45.7,47.8,18.8,31.6,418.0,10.0,22.3,6.67
58.8,35.2,12.2,16.5,24.1,18.4,33.7,362.0,16.3,19.8,10.4
69.2,35.5,17.3,50.0,19.8,8.51,18.6,151.0,12.0,31.1,27.6
69.8,47.0,25.5,276.0,77.0,32.8,51.4,799.0,19.6,47.8,16.4
105.0,59.9,20.0,19.6,15.1,6.85,23.1,1065.0,1.67,48.3,4.66
62.1,51.9,13.6,30.2,10.6,14.3,37.9,692.0,6.49,25.0,91.4
75.0,33.4,1.0,31.6,1.0,19.8,27.6,505.0,18.6,31.1,7.64
20.4,15.1,7.99,101.0,35.9,9.14,22.9,400.0,11.7,22.7,6.85
47.8,19.6,17.5,33.1,82.0,17.9,35.2,956.0,22.5,43.3,20.0
59.9,53.3,11.8,77.7,12.9,11.1,37.9,1407.0,18.8,29.4,16.8
46.6,27.1,12.4,109.0,21.9,21.5,38.2,207.0,11.0,31.3,12.0
51.9,21.3,49.1,58.8,10.8,58.8,200.0,3051.0,15.3,39.2,15.7
31.9,23.9,15.1,12.7,4.61,6.73,15.0,562.0,1.0,68.5,8.2
93.9,27.4,67.3,138.0,30.8,28.1,46.1,906.0,2.69,6.98,71.0
64.9,23.3,15.3,12.6,9.06,19.6,35.2,806.0,2.37,20.0,7.91
153.0,123.0,12.0,34.6,63.8,8.58,26.2,470.0,1.0,12.0,9.91
16.7,12.4,7.04,235.0,34.9,44.9,64.9,1843.0,23.5,36.2,30.5
71.7,25.5,13.1,12.0,43.3,12.2,31.3,655.0,7.7,16.4,49.1
35.5,23.7,2.89,4.26,12.9,13.0,22.7,470.0,7.77,33.4,16.3
83.5,61.5,13.0,34.6,12.3,3.46,19.5,239.0,2.53,2.69,6.1
31.9,8.82,12.9,154.0,56.7,16.8,16.0,433.0,9.56,48.7,54.2
29.4,20.2,7.7,125.0,27.4,89.0,150.0,799.0,2.71,15.4,49.1
302.0,325.0,17.6,25.7,10.7,29.2,38.2,313.0,10.8,36.5,17.2
40.3,16.5,11.5,505.0,67.3,19.3,29.7,483.0,2.92,15.3,89.0
29.2,15.4,9.73,23.1,71.0,6.38,47.0,557.0,20.0,24.6,7.7
46.1,25.7,12.7,24.4,37.2,16.8,35.9,375.0,5.47,39.2,95.6
52.3,21.5,27.1,155.0,67.9,7.23,23.9,820.0,3.59,25.0,93.1
48.7,36.5,18.6,10.6,13.9,6.1,25.9,1009.0,10.2,22.7,15.3
85.8,82.0,120.0,325.0,79.1,6.61,10.9,723.0,12.1,21.9,5.42
75.7,25.9,21.5,64.4,45.3,8.28,28.4,583.0,15.7,36.8,13.7
58.3,21.9,14.9,18.4,30.2,5.47,17.2,982.0,16.3,21.5,15.5
58.8,34.9,13.3,82.8,38.2,22.5,27.9,379.0,6.55,18.4,48.7
112.0,27.6,28.4,67.9,30.5,10.8,16.7,403.0,17.8,29.7,7.77
66.7,29.2,2.39,10.9,32.2,22.9,32.2,379.0,14.3,30.8,17.6
39.6,23.9,6.61,137.0,20.4,22.7,38.2,313.0,16.1,20.0,10.5
36.5,15.5,2.55,8.35,40.0,15.8,34.6,281.0,21.3,28.6,13.9
38.2,25.7,32.2,59.4,138.0,24.1,36.5,331.0,38.5,67.9,16.3
41.8,21.3,9.39,7.91,32.5,13.3,61.0,858.0,2.81,17.3,64.4
62.1,18.1,24.8,113.0,25.5,17.0,34.6,604.0,4.26,13.5,72.3
167.0,79.1,9.65,111.0,20.2,28.4,89.0,1472.0,20.4,29.2,12.9
55.7,28.6,25.9,51.9,64.9,7.5,17.6,271.0,2.21,4.45,9.73
84.3,71.7,12.9,93.1,36.5,8.9,17.8,906.0,9.06,25.0,42.2
60.4,25.3,19.1,27.4,44.5,44.5,64.9,1197.0,20.9,49.6,17.5
57.3,21.9,38.2,38.5,81.3,5.83,12.9,274.0,16.0,21.5,14.9
76.4,32.8,30.0,60.4,49.6,5.47,14.3,87.4,11.1,27.4,7.43
96.5,119.0,15.5,71.0,13.9,19.5,32.2,500.0,50.9,75.0,26.9
38.5,17.8,32.2,115.0,61.0,10.6,21.3,965.0,5.0,20.4,34.9
66.1,46.6,7.7,19.6,75.7,15.7,17.8,519.0,12.0,13.8,14.9
112.0,79.1,7.37,15.0,35.9,10.6,32.2,382.0,14.9,31.1,12.0
47.0,22.3,12.2,73.0,24.1,3.49,11.4,340.0,5.62,13.9,93.9
87.4,54.7,19.6,8.58,24.8,15.8,33.1,757.0,24.6,40.7,25.0
57.8,19.1,22.9,19.1,11.3,18.8,57.3,743.0,8.66,8.35,24.4
92.2,31.1,18.9,22.3,34.3,13.6,29.4,385.0,7.23,17.6,7.99
93.1,28.9,9.56,11.4,23.1,20.4,24.8,319.0,4.14,20.2,122.0
107.0,36.8,16.0,38.9,29.2,18.8,28.1,276.0,1.83,25.5,97.3
80.6,56.7,16.1,27.6,4.03,5.28,5.88,491.0,3.52,5.57,24.4
44.9,25.3,1.0,158.0,12.3,14.2,26.2,514.0,6.55,16.1,33.7
27.4,18.8,9.65,13.2,9.73,18.6,54.7,286.0,1.88,19.8,88.2
31.6,25.7,24.6,35.2,25.7,14.1,25.7,284.0,20.4,28.4,48.3
52.3,33.4,8.13,25.5,5.73,30.5,42.9,305.0,34.9,68.5,20.4
71.7,27.4,8.82,18.3,23.1,14.1,27.4,649.0,3.82,20.2,53.8
44.5,26.9,15.5,87.4,12.5,4.53,16.0,379.0,3.68,32.5,77.0
74.3,27.4,16.4,22.7,2.0,6.26,15.1,457.0,13.6,24.6,6.55
44.1,20.2,13.9,17.8,39.2,22.3,30.2,487.0,30.5,40.0,23.7
42.9,22.9,17.3,17.8,21.9,13.1,36.8,710.0,12.6,24.4,65.5
79.1,26.4,1.19,3.96,41.4,8.06,20.4,509.0,3.68,16.0,63.2
89.0,30.0,44.9,47.0,7.37,52.8,97.3,2288.0,69.8,94.7,8.28
63.2,27.4,14.5,80.6,41.0,15.1,38.2,453.0,13.6,32.8,13.1
27.9,20.7,25.3,70.4,42.2,6.98,21.3,313.0,24.8,44.5,23.1
69.8,22.9,19.3,17.5,9.73,20.7,28.1,255.0,13.0,25.3,9.73
28.9,15.7,22.7,37.9,49.1,13.0,23.5,509.0,22.1,53.8,35.9
102.0,30.8,7.17,82.0,49.1,20.2,25.0,343.0,3.96,26.9,87.4
59.4,25.3,14.9,61.5,26.2,22.5,36.5,239.0,2.74,14.5,77.7
89.8,31.3,18.8,22.5,8.74,25.0,37.5,426.0,29.7,60.4,24.1
200.0,33.1,19.5,56.2,16.1,21.7,35.5,305.0,4.26,14.2,95.6
62.1,18.1,14.9,149.0,62.1,4.49,20.7,698.0,44.1,125.0,57.3
46.1,23.7,17.9,276.0,41.4,15.0,19.5,334.0,16.7,31.6,11.8
149.0,85.1,8.43,7.99,17.8,29.2,69.2,1208.0,26.4,46.6,30.0
8.9,15.5,7.91,153.0,16.0,40.3,61.5,1582.0,12.2,25.7,12.0
109.0,40.0,9.82,24.4,73.0,12.3,23.1,487.0,17.9,30.8,15.1
71.7,42.9,31.1,23.9,10.5,8.13,34.9,2571.0,1.0,33.4,1.01
68.5,24.4,16.3,47.8,13.9,5.94,17.2,649.0,18.6,38.5,17.8
79.9,44.1,4.45,89.8,28.1,39.2,82.8,632.0,20.4,51.4,35.9
85.1,34.9,1.0,325.0,23.5,44.1,86.6,799.0,23.9,41.8,16.7
196.0,163.0,3.85,311.0,59.9,22.9,25.3,470.0,2.15,6.61,2.81
38.5,17.3,25.7,26.4,10.9,29.4,42.6,322.0,23.3,37.5,19.3
64.4,50.9,12.7,12.4,3.11,22.5,30.0,573.0,25.0,54.7,20.9
97.3,22.7,17.5,101.0,31.3,19.6,25.3,352.0,13.9,36.2,9.82
79.1,28.4,7.3,6.73,66.7,27.4,53.3,1655.0,40.0,66.1,20.4
106.0,24.8,1.35,61.0,16.1,70.4,108.0,1018.0,15.4,31.9,14.2
76.4,30.8,8.51,141.0,12.1,19.3,34.0,297.0,6.15,29.4,118.0
108.0,30.8,21.5,41.0,30.8,6.61,27.4,1094.0,11.5,30.2,67.3
53.3,34.6,18.3,41.0,56.2,3.79,30.8,965.0,3.43,16.4,70.4
27.9,19.3,24.4,106.0,23.7,14.7,21.3,519.0,14.9,36.2,16.5
69.8,26.2,21.9,20.4,17.0,18.9,45.3,533.0,2.41,9.47,74.3
7.23,5.88,17.8,119.0,14.1,8.82,23.7,445.0,3.0,18.1,66.7
49.1,18.8,14.9,29.4,15.0,17.6,28.1,470.0,1.88,21.9,59.4
42.6,15.7,53.3,62.6,16.5,3.79,10.3,552.0,6.98,44.9,271.0
16.5,22.9,9.22,10.9,46.1,3.59,13.6,874.0,12.5,28.1,2.89
101.0,61.0,17.9,13.0,27.9,7.99,11.1,215.0,5.14,11.4,58.8
59.9,21.9,11.5,17.2,13.3,8.82,24.8,965.0,9.22,44.9,3.85
102.0,46.1,11.3,104.0,13.3,36.8,65.5,914.0,13.7,33.4,11.0
142.0,101.0,26.9,422.0,101.0,11.3,19.5,649.0,8.43,29.2,138.0
61.5,17.2,17.8,10.1,16.7,14.9,33.1,542.0,11.1,20.9,154.0
54.7,20.4,15.5,35.2,32.5,11.7,18.1,599.0,1.63,17.5,67.9
50.5,19.5,4.78,13.6,24.8,11.7,28.9,509.0,18.3,39.6,23.3
34.0,13.3,26.7,38.2,98.2,34.0,59.4,704.0,32.8,63.2,50.9
48.7,19.5,32.8,43.7,44.9,8.58,24.4,466.0,1.6,20.4,64.9
70.4,25.3,12.3,145.0,21.1,4.53,24.6,255.0,4.83,18.8,51.9
45.7,19.1,6.32,94.7,17.2,8.43,16.0,244.0,3.08,23.5,93.9
78.4,33.1,25.3,27.4,46.6,66.7,164.0,3220.0,17.8,29.7,18.3
17.6,11.4,32.5,94.7,117.0,23.7,36.5,355.0,9.82,23.1,18.9
29.4,26.4,15.1,21.5,8.13,15.4,71.7,610.0,2.07,22.1,57.3
63.8,21.1,7.64,38.2,50.0,4.41,13.9,461.0,20.5,31.3,13.2
227.0,155.0,28.6,32.8,22.3,10.8,10.1,362.0,19.6,39.2,12.1
64.4,29.7,13.7,33.4,8.58,7.7,23.1,1252.0,12.6,25.3,1.11
57.8,15.3,19.5,71.0,31.6,14.3,17.9,505.0,18.9,38.9,33.1
75.0,23.7,13.5,178.0,31.6,21.5,33.1,255.0,28.1,43.7,12.5
48.7,25.0,52.3,109.0,16.3,6.85,17.8,445.0,3.85,16.0,63.8
61.0,53.3,27.4,32.5,3.72,9.56,25.7,1346.0,1.42,19.6,79.9
96.5,46.1,16.1,15.5,31.6,3.85,22.3,5.57,6.15,32.5,73.0
54.7,26.2,12.5,93.9,14.9,11.5,18.6,474.0,16.4,24.1,7.3
118.0,39.2,66.1,75.0,14.1,4.33,11.1,562.0,18.3,36.5,13.3
96.5,56.2,29.7,39.2,16.1,12.2,37.9,1000.0,17.3,47.0,23.1
89.0,52.8,24.4,18.9,3.85,23.1,42.9,710.0,21.1,37.9,18.6
25.3,38.5,21.5,48.3,75.0,19.1,33.7,308.0,89.0,138.0,46.6
96.5,46.1,20.9,51.4,14.5,53.3,118.0,882.0,3.34,12.9,30.5
62.6,34.9,18.1,133.0,30.0,21.5,24.1,403.0,9.56,21.3,13.6
18.3,20.0,47.4,75.7,63.2,13.3,19.3,400.0,19.3,31.9,29.4
65.5,32.5,12.9,17.0,12.7,18.8,31.1,334.0,5.88,33.1,138.0
85.1,41.0,14.9,32.2,27.4,38.5,47.0,777.0,6.38,23.1,56.2
79.9,25.0,36.5,26.2,42.6,4.91,9.91,385.0,5.42,25.9,98.2
42.2,20.2,8.2,26.9,23.9,19.1,40.3,422.0,22.9,32.5,24.4
61.0,19.1,10.2,68.5,28.6,10.9,6.55,267.0,20.5,43.7,21.9
17.5,10.9,6.1,155.0,21.3,17.2,26.4,389.0,17.3,47.0,23.7
36.5,22.3,33.4,63.8,126.0,9.73,19.8,552.0,20.9,34.6,15.4
14.6,14.9,21.7,167.0,31.3,19.1,32.8,286.0,5.19,15.5,108.0
17.3,24.4,25.7,26.9,8.58,21.5,36.2,284.0,17.0,35.2,14.9
63.2,10.9,65.5,127.0,29.7,26.9,53.8,337.0,25.9,38.9,20.5
35.2,16.0,12.5,157.0,48.3,15.5,117.0,1499.0,28.9,46.1,10.7
57.3,27.6,14.5,173.0,37.2,5.57,12.4,604.0,15.8,37.2,18.8
24.4,15.5,15.0,114.0,15.8,16.7,30.0,1000.0,13.6,20.5,17.3
69.8,40.7,14.6,135.0,27.9,29.2,42.9,385.0,14.3,24.1,9.06
74.3,35.9,44.9,53.8,75.0,10.6,33.1,1382.0,10.6,28.9,4.26
101.0,35.5,16.5,88.2,16.8,49.6,72.3,730.0,17.2,32.5,17.9
41.4,17.2,22.1,21.1,12.7,23.9,34.3,379.0,1.0,13.2,8.66
82.0,66.1,11.4,17.2,32.8,5.28,12.3,158.0,25.7,63.2,31.9
86.6,38.2,18.8,10.3,2.48,19.5,31.3,382.0,18.8,30.5,3.49
14.1,7.23,20.7,155.0,13.5,17.3,86.6,195.0,20.5,38.2,15.8
89.8,52.3,2.81,14.5,49.1,38.2,83.5,750.0,25.5,41.0,15.0
97.3,41.4,27.6,178.0,48.3,11.3,27.1,528.0,3.82,14.6,68.5
26.9,13.7,11.0,34.9,35.5,17.5,39.2,505.0,13.9,30.2,10.2
89.0,21.3,13.7,20.7,15.5,3.31,13.7,407.0,1.78,1.53,55.2
66.1,23.9,17.6,12.6,20.0,21.7,35.9,269.0,24.4,36.5,11.3
129.0,53.3,25.3,382.0,87.4,7.64,8.13,305.0,6.49,40.3,87.4
39.2,19.3,37.5,85.8,46.1,7.23,12.1,599.0,21.9,47.0,17.8
25.0,18.6,4.03,12.0,36.2,29.7,41.0,346.0,5.78,11.9,26.4
45.7,19.3,7.17,98.2,29.7,5.33,22.9,365.0,23.3,40.0,21.1
62.1,20.5,25.0,57.3,12.1,14.9,21.5,422.0,1.0,89.0,1.57
71.0,32.5,20.2,83.5,131.0,4.83,20.5,25.3,23.9,37.5,17.8
50.0,31.6,6.67,11.3,14.9,14.7,113.0,181.0,17.5,28.6,9.22
102.0,31.6,4.41,12.9,21.7,8.58,18.3,523.0,10.1,33.4,104.0
63.2,24.6,11.2,16.5,3.11,6.44,17.5,542.0,3.49,9.82,4.53
233.0,66.1,14.5,87.4,20.4,13.3,18.4,359.0,1.0,18.9,58.8
38.9,24.1,18.9,36.8,17.5,42.6,80.6,1075.0,11.8,35.9,11.3
98.2,44.1,6.04,23.1,16.1,12.0,22.7,547.0,22.9,50.5,15.4
38.9,24.6,8.66,6.49,26.2,22.7,26.7,219.0,10.7,39.6,71.7
87.4,29.4,22.5,22.7,13.9,26.2,47.8,311.0,10.8,13.8,9.65
75.7,21.5,1.0,71.7,2.27,6.26,15.5,418.0,14.7,28.9,12.7
79.9,18.9,15.7,80.6,23.7,7.77,15.1,396.0,20.0,32.8,18.6
52.8,19.5,19.3,54.7,47.4,43.7,57.3,661.0,11.2,38.9,98.2
63.8,17.0,33.7,35.2,12.9,70.4,109.0,1358.0,9.73,25.9,91.4
107.0,44.9,7.99,17.6,45.7,7.84,21.1,500.0,4.53,12.4,69.8
59.4,18.4,17.0,76.4,16.3,31.1,59.4,667.0,18.4,51.9,18.4
106.0,74.3,48.7,61.5,24.8,16.0,36.2,542.0,7.7,27.9,167.0
71.0,40.7,11.7,16.8,14.5,7.99,16.7,655.0,24.8,43.3,14.3
21.5,13.1,23.7,24.4,17.0,4.29,11.1,392.0,12.3,27.9,29.2
149.0,51.4,33.7,120.0,31.6,29.4,54.2,1762.0,19.1,26.7,8.9
25.9,12.3,17.8,112.0,18.1,17.9,36.5,346.0,5.0,21.1,57.3
64.4,48.3,12.3,30.0,35.2,13.3,34.9,349.0,13.7,31.1,16.1
36.2,11.3,15.5,16.4,37.9,15.3,22.9,414.0,4.14,10.4,68.5
51.9,26.7,12.9,44.5,4.49,30.2,50.0,302.0,17.9,22.3,10.3
21.7,7.57,9.65,308.0,38.2,11.8,29.4,355.0,8.13,17.2,89.8
93.9,35.9,17.6,14.3,13.0,23.5,40.0,300.0,13.2,24.6,13.0
56.7,20.5,13.6,88.2,30.0,24.4,32.5,414.0,25.3,41.4,16.4
66.1,16.1,11.0,75.0,14.3,13.2,29.2,466.0,24.8,49.6,29.2
27.6,17.0,11.2,99.1,50.0,29.7,50.5,1346.0,25.3,52.8,13.2
49.1,33.4,21.7,19.8,10.1,25.3,39.2,400.0,25.7,33.7,20.9
157.0,51.9,12.3,21.7,45.3,5.99,45.3,49.1,7.77,10.3,41.0
124.0,33.4,13.5,16.3,17.5,16.1,25.0,466.0,9.47,24.1,262.0
37.9,16.4,34.6,39.2,6.85,2.53,13.9,239.0,4.07,58.8,89.0
45.3,25.5,22.1,15.1,13.3,12.3,22.9,474.0,2.05,23.5,106.0
163.0,86.6,33.1,53.8,15.4,40.3,53.3,316.0,18.9,38.5,13.2
62.6,33.7,8.58,37.2,44.9,5.0,4.29,400.0,24.6,45.3,28.6
26.4,15.3,43.7,43.7,13.3,6.04,21.9,1037.0,30.8,61.0,14.2
52.3,29.7,13.3,85.1,88.2,11.9,32.2,1446.0,19.5,43.7,20.7
81.3,24.8,21.5,25.0,4.53,181.0,248.0,621.0,15.3,34.0,22.1
95.6,38.2,5.0,281.0,64.4,26.4,45.3,496.0,26.2,48.7,10.4
79.9,29.4,5.05,117.0,17.3,30.0,71.0,828.0,8.82,22.1,12.6
17.3,14.6,15.1,121.0,30.8,10.4,14.7,717.0,16.0,26.4,8.35
51.4,37.9,42.6,73.7,36.2,15.5,35.5,1219.0,1.98,17.6,77.0
38.5,7.3,3.13,17.0,17.5,29.4,41.8,470.0,27.4,42.9,16.0
52.8,53.3,3.65,13.6,42.6,36.8,62.6,1000.0,12.4,23.5,23.7
91.4,40.3,17.0,38.2,1.49,10.5,27.1,1009.0,29.7,50.0,33.4
37.9,14.2,13.3,32.8,12.1,17.9,42.9,487.0,2.11,24.8,66.7
55.2,18.8,7.5,32.5,13.6,55.7,97.3,2618.0,10.1,30.8,58.3
44.5,24.8,15.5,178.0,45.3,21.1,57.3,982.0,1.0,58.3,8.43
70.4,30.0,20.4,17.3,13.7,19.1,36.8,349.0,17.0,53.3,22.3
47.4,30.5,19.8,21.7,31.6,33.1,87.4,400.0,3.89,36.8,96.5
63.8,21.7,22.7,184.0,36.2,20.5,26.2,359.0,3.96,19.8,80.6
23.5,42.9,12.1,29.2,27.4,1.5,8.51,154.0,20.7,36.2,13.5
5.23,15.1,22.1,93.9,7.7,133.0,297.0,1094.0,9.39,19.6,4.14
14.5,15.4,1.0,117.0,3.49,16.0,29.4,457.0,20.4,48.3,16.0
36.8,9.47,12.2,12.6,15.8,20.0,30.0,271.0,12.1,26.2,85.8
97.3,25.3,17.6,12.9,17.3,6.98,9.22,352.0,12.6,23.3,20.9
16.3,12.1,67.3,149.0,39.6,43.3,64.4,1027.0,9.56,15.4,67.3
44.5,31.3,33.1,184.0,58.8,32.5,43.3,286.0,1.0,59.4,3.68
67.9,53.3,17.5,97.3,37.5,22.1,36.8,331.0,5.42,15.1,94.7
59.4,28.1,18.9,81.3,18.1,79.9,165.0,2129.0,8.58,17.0,7.57
25.9,17.2,21.5,24.1,36.8,15.3,32.2,313.0,9.91,18.8,9.22
40.0,32.8,11.3,98.2,19.5,40.0,75.7,365.0,19.3,33.7,14.7
60.4,24.8,17.0,337.0,60.4,12.7,25.0,496.0,9.91,20.5,9.56
50.5,24.6,17.0,136.0,30.0,57.8,91.4,1526.0,1.54,23.3,59.9
31.1,18.8,6.15,191.0,13.0,10.6,21.9,466.0,13.7,26.7,15.0
11.2,17.9,17.5,15.1,29.2,12.7,19.3,331.0,18.8,24.8,10.9
39.2,28.4,23.1,14.2,24.4,92.2,235.0,1670.0,8.06,19.3,18.4
72.3,27.1,18.4,37.2,25.7,7.3,23.3,1075.0,7.04,21.3,35.5
62.1,16.1,25.0,379.0,78.4,31.3,50.0,343.0,14.1,20.2,9.65
12.7,12.9,30.5,32.8,19.6,3.37,14.1,385.0,31.9,59.4,28.1
49.6,17.9,7.5,11.1,3.02,67.3,129.0,737.0,17.0,31.6,7.77
62.6,22.7,13.1,125.0,10.3,5.73,22.5,418.0,17.3,32.5,12.4
10.8,5.33,23.9,49.1,12.9,11.0,22.9,483.0,2.35,21.1,85.8
74.3,26.4,13.5,36.5,50.0,4.26,17.2,70.4,3.0,14.7,92.2
73.0,21.7,6.79,213.0,23.5,16.5,19.1,429.0,1.67,44.9,3.0
10.9,6.38,16.7,145.0,33.4,8.58,11.0,305.0,1.6,13.8,62.6
55.2,18.9,11.0,123.0,11.9,11.5,23.9,422.0,11.2,25.3,14.2
56.7,13.9,18.4,13.5,15.5,5.67,30.2,538.0,17.9,39.6,14.6
97.3,61.5,11.8,165.0,34.6,24.6,31.9,433.0,19.5,35.2,21.5
45.3,19.5,19.3,47.0,85.8,3.55,30.0,1124.0,17.5,44.5,157.0
45.3,16.5,17.0,89.8,47.0,19.5,46.1,407.0,11.1,27.6,122.0
248.0,271.0,17.8,34.0,38.9,21.5,38.5,449.0,2.59,35.5,3.75
58.3,34.0,19.8,164.0,35.9,20.5,33.4,313.0,14.1,32.2,13.9
112.0,46.1,10.8,133.0,9.22,4.1,10.8,552.0,26.9,53.8,25.9
16.0,15.0,17.9,153.0,35.2,12.9,35.5,457.0,11.2,25.7,1.19
